,total_cons_ann,hh_size,lat_dd_mod,lon_dd_mod,cons_pp
1656,,1,11.5896069125,37.3720338047,
1657,36710.0,4,11.5896069125,37.3720338047,9177.5
1658,14742.0,1,11.5896069125,37.3720338047,14742.0
1659,72044.0,6,11.5896069125,37.3720338047,12007.333333333334
1660,506436.0,7,11.5896069125,37.3720338047,72348.0
1661,14076.0,1,11.5896069125,37.3720338047,14076.0
1662,12914.0,1,11.5896069125,37.3720338047,12914.0
1663,8093.0,1,11.5896069125,37.3720338047,8093.0
1664,16237.0,2,11.5896069125,37.3720338047,8118.5
1665,94405.0,10,11.5896069125,37.3720338047,9440.5
1666,113776.0,3,11.5896069125,37.3720338047,37925.333333333336
1667,43622.0,4,11.5896069125,37.3720338047,10905.5
1668,53508.0,5,11.5896069125,37.3720338047,10701.6
1669,10180.0,1,11.583427511,37.4126559043,10180.0
1670,17003.0,2,11.583427511,37.4126559043,8501.5
1671,19472.0,2,11.583427511,37.4126559043,9736.0
1672,9784.0,2,11.583427511,37.4126559043,4892.0
1673,27209.0,4,11.583427511,37.4126559043,6802.25
1674,28090.0,2,11.583427511,37.4126559043,14045.0
1675,9621.0,2,11.583427511,37.4126559043,4810.5
1676,43752.0,4,11.583427511,37.4126559043,10938.0
1677,7237.0,1,11.583427511,37.4126559043,7237.0
1678,8662.0,2,11.583427511,37.4126559043,4331.0
1679,27616.0,2,11.583427511,37.4126559043,13808.0
1680,50991.0,3,11.583427511,37.4126559043,16997.0
1681,23855.0,3,11.583427511,37.4126559043,7951.666666666667
1682,67404.0,6,11.5763195069,37.3667248025,11234.0
1683,61208.0,5,11.5763195069,37.3667248025,12241.6
1684,30606.0,4,11.5763195069,37.3667248025,7651.5
1685,24840.0,2,11.5763195069,37.3667248025,12420.0
1686,70588.0,4,11.5763195069,37.3667248025,17647.0
1687,41974.0,5,11.5763195069,37.3667248025,8394.8
1688,74610.0,5,11.5763195069,37.3667248025,14922.0
1689,37733.0,3,11.5763195069,37.3667248025,12577.666666666666
1690,22124.0,2,11.5763195069,37.3667248025,11062.0
1691,32240.0,3,11.5763195069,37.3667248025,10746.666666666666
1692,72442.0,6,11.5763195069,37.3667248025,12073.666666666666
1693,48274.0,5,11.5763195069,37.3667248025,9654.8
1694,27520.0,2,11.5763195069,37.3667248025,13760.0
1695,75084.0,5,11.5763195069,37.3667248025,15016.8
1696,54524.0,4,11.5763195069,37.3667248025,13631.0
1697,,3,11.003906691,39.9387898351,
1698,21720.658203125,7,11.003906691,39.9387898351,3102.951171875
1699,50105.3125,6,11.003906691,39.9387898351,8350.885416666666
1700,27802.0,6,11.003906691,39.9387898351,4633.666666666667
1701,14093.0,3,11.003906691,39.9387898351,4697.666666666667
1702,31426.857421875,10,11.003906691,39.9387898351,3142.6857421875
1703,28906.857421875,7,11.003906691,39.9387898351,4129.551060267857
1704,13209.92578125,2,11.003906691,39.9387898351,6604.962890625
1705,23074.5703125,6,11.003906691,39.9387898351,3845.76171875
1706,28719.14453125,5,11.003906691,39.9387898351,5743.82890625
1707,91376.1875,8,11.003906691,39.9387898351,11422.0234375
1708,5020.83984375,6,10.9878391908,39.9234074653,836.806640625
1709,3798.4599609375,5,10.9878391908,39.9234074653,759.6919921875
1710,6375.21142578125,8,10.9878391908,39.9234074653,796.9014282226562
1711,6909.72509765625,8,10.9878391908,39.9234074653,863.7156372070312
1712,7511.21142578125,8,10.9878391908,39.9234074653,938.9014282226562
1713,4274.3310546875,5,10.9878391908,39.9234074653,854.8662109375
1714,1590.50964355469,1,10.9878391908,39.9234074653,1590.50964355469
1715,30655.39453125,7,10.9878391908,39.9234074653,4379.342075892857
1716,5974.6142578125,8,10.9878391908,39.9234074653,746.8267822265625
1717,3691.98193359375,4,10.9878391908,39.9234074653,922.9954833984375
1718,2962.1455078125,4,10.9878391908,39.9234074653,740.536376953125
1719,,1,10.9878391908,39.9234074653,
1720,1485.41577148438,2,10.9436292122,40.0054371148,742.70788574219
1721,9907.0,4,10.9436292122,40.0054371148,2476.75
1722,12855.771484375,7,10.9436292122,40.0054371148,1836.538783482143
1723,21237.5546875,7,10.9436292122,40.0054371148,3033.9363839285716
1724,,1,10.9436292122,40.0054371148,
1725,9756.0,4,10.9436292122,40.0054371148,2439.0
1726,4111.759765625,1,10.9436292122,40.0054371148,4111.759765625
1727,8646.86328125,5,10.9436292122,40.0054371148,1729.37265625
1728,18757.30078125,8,10.9436292122,40.0054371148,2344.66259765625
1729,19482.857421875,5,10.9436292122,40.0054371148,3896.571484375
1730,39294.21484375,8,10.9436292122,40.0054371148,4911.77685546875
1731,80019.0,6,10.9436292122,40.0054371148,13336.5
1732,,5,9.83705860887,34.9150151529,
1733,,5,9.83705860887,34.9150151529,
1734,17459.52734375,6,9.83705860887,34.9150151529,2909.9212239583335
1735,16645.857421875,4,9.83705860887,34.9150151529,4161.46435546875
1736,,4,9.83705860887,34.9150151529,
1737,12172.4365234375,4,9.83705860887,34.9150151529,3043.109130859375
1738,10415.2001953125,3,9.83705860887,34.9150151529,3471.7333984375
1739,12269.7998046875,4,9.83705860887,34.9150151529,3067.449951171875
1740,11938.673828125,4,9.83705860887,34.9150151529,2984.66845703125
1741,22896.578125,6,9.83705860887,34.9150151529,3816.0963541666665
1742,12475.24609375,6,9.83705860887,34.9150151529,2079.2076822916665
1743,14498.0078125,6,9.83705860887,34.9150151529,2416.3346354166665
1744,28310.1328125,12,9.35810274536,35.5751653852,2359.177734375
1745,30665.552734375,7,9.35810274536,35.5751653852,4380.793247767857
1746,,7,9.35810274536,35.5751653852,
1747,9359.23046875,6,9.35810274536,35.5751653852,1559.8717447916667
1748,12286.4697265625,5,9.35810274536,35.5751653852,2457.2939453125
1749,24424.556640625,4,9.35810274536,35.5751653852,6106.13916015625
1750,15556.470703125,6,9.35810274536,35.5751653852,2592.7451171875
1751,14027.203125,4,9.35810274536,35.5751653852,3506.80078125
1752,18929.986328125,6,9.35810274536,35.5751653852,3154.9977213541665
1753,7681.2734375,5,9.35810274536,35.5751653852,1536.2546875
1754,3314.0,1,9.35810274536,35.5751653852,3314.0
1755,6793.0,3,9.35810274536,35.5751653852,2264.3333333333335
1756,3418.0,4,9.07702977605,35.6156340346,854.5
1757,13894.904296875,4,9.07702977605,35.6156340346,3473.72607421875
1758,29385.47265625,4,9.07702977605,35.6156340346,7346.3681640625
1759,39169.2578125,12,9.07702977605,35.6156340346,3264.1048177083335
1760,17910.908203125,7,9.07702977605,35.6156340346,2558.701171875
1761,23973.546875,6,9.07702977605,35.6156340346,3995.5911458333335
1762,14518.626953125,4,9.07702977605,35.6156340346,3629.65673828125
1763,13098.9609375,2,9.07702977605,35.6156340346,6549.48046875
1764,10814.80078125,6,9.07702977605,35.6156340346,1802.466796875
1765,8361.98046875,5,9.07702977605,35.6156340346,1672.39609375
1766,5066.755859375,6,9.07702977605,35.6156340346,844.4593098958334
1767,17197.990234375,7,9.07702977605,35.6156340346,2456.8557477678573
1768,30656.0,7,9.38880972769,35.6143908552,4379.428571428572
1769,28326.0,7,9.38880972769,35.6143908552,4046.5714285714284
1770,16132.0,5,9.38880972769,35.6143908552,3226.4
1771,10507.0732421875,3,9.38880972769,35.6143908552,3502.3577473958335
1772,5220.0,3,9.38880972769,35.6143908552,1740.0
1773,11546.0,5,9.38880972769,35.6143908552,2309.2
1774,22527.0,6,9.38880972769,35.6143908552,3754.5
1775,7498.0,4,9.38880972769,35.6143908552,1874.5
1776,4692.0,3,9.38880972769,35.6143908552,1564.0
